FirstSeen,Title,Artist,PeakRank,WeeksOnBoard,ArtistList
2020-12-26,Closure,Taylor Swift,82,1,Taylor Swift
2020-12-26,Marjorie,Taylor Swift,75,1,Taylor Swift
2020-12-26,Cowboy Like Me,Taylor Swift,71,1,Taylor Swift
2020-12-26,Long Story Short,Taylor Swift,68,1,Taylor Swift
2020-12-26,Dorothea,Taylor Swift,67,1,Taylor Swift
2020-12-26,Coney Island,Taylor Swift Featuring The National,63,1,The National;Taylor Swift
2020-12-26,Ivy,Taylor Swift,61,1,Taylor Swift
2020-12-26,Evermore,Taylor Swift Featuring Bon Iver,57,1,Bon Iver;Taylor Swift
2020-12-26,Happiness,Taylor Swift,52,1,Taylor Swift
2020-12-26,Tolerate It,Taylor Swift,45,1,Taylor Swift
2020-12-26,Gold Rush,Taylor Swift,40,1,Taylor Swift
2020-12-26,'Tis The Damn Season,Taylor Swift,39,2,Taylor Swift
2020-12-26,"No Body, No Crime",Taylor Swift Featuring HAIM,34,2,HAIM;Taylor Swift
2020-12-26,Champagne Problems,Taylor Swift,21,2,Taylor Swift
2020-12-26,Willow,Taylor Swift,1,20,Taylor Swift
2020-12-19,Silent Night,Carrie Underwood,94,2,Carrie Underwood
2020-12-19,Hallelujah,Carrie Underwood & John Legend,54,3,John Legend;Carrie Underwood
2020-12-19,Take Me Home For Christmas,Dan + Shay,48,4,Dan + Shay
2020-12-12,Favorite Time Of Year,Carrie Underwood,62,4,Carrie Underwood
2020-12-12,Under The Mistletoe,Kelly Clarkson & Brett Eldredge,59,3,Brett Eldredge;Kelly Clarkson
2020-12-05,Livin' The Dream,Morgan Wallen,74,2,Morgan Wallen
2020-12-05,Prisoner,Miley Cyrus Featuring Dua Lipa,54,12,Dua Lipa;Miley Cyrus
2020-12-05,Cover Me Up,Morgan Wallen,52,10,Morgan Wallen
2020-12-05,Still Goin Down,Morgan Wallen,45,8,Morgan Wallen
2020-12-05,Somebody's Problem,Morgan Wallen,25,13,Morgan Wallen
2020-11-28,Holiday,Lil Nas X,37,12,Lil Nas X
2020-11-28,What's Your Country Song,Thomas Rhett,29,21,Thomas Rhett
2020-11-21,Beers And Sunshine,Darius Rucker,42,15,Darius Rucker
2020-11-07,"Wine, Beer, Whiskey",Little Big Town,100,1,Little Big Town
2020-11-07,The Other Guy,Luke Combs,69,1,Luke Combs
2020-11-07,Cold As You,Luke Combs,39,13,Luke Combs
2020-11-07,Forever After All,Luke Combs,2,45,Luke Combs
2020-10-31,Happy Does,Kenny Chesney,47,14,Kenny Chesney
2020-10-24,"Baby, I'm Jealous",Bebe Rexha Featuring Doja Cat,58,1,Doja Cat;Bebe Rexha
2020-10-24,Hole In The Bottle,Kelsea Ballerini,39,20,Kelsea Ballerini
2020-10-10,"Big, Big Plans",Chris Lane,42,20,Chris Lane
2020-10-10,Good Time,Niko Moon,20,25,Niko Moon
