song,artist,year,month,n_weeks,rank_w_mean,dolly_parton,date_short
Hung Up,Madonna,2006,1,4,29.75,0,2006-01-01
Hung Up,Madonna,2006,2,4,54.0,0,2006-02-01
Hung Up,Madonna,2006,3,3,58.666666666666664,0,2006-03-01
Hurt/for The Heart,Elvis Presley,1976,3,1,85.0,0,1976-03-01
Hurt/for The Heart,Elvis Presley,1976,4,4,58.5,0,1976-04-01
Hurt/for The Heart,Elvis Presley,1976,5,5,32.0,0,1976-05-01
Hurt/for The Heart,Elvis Presley,1976,6,1,54.0,0,1976-06-01
I Almost Do,Taylor Swift,2012,11,1,65.0,0,2012-11-01
I Can't See Myself Leaving You,Aretha Franklin,1969,4,2,54.0,0,1969-04-01
I Can't See Myself Leaving You,Aretha Franklin,1969,5,5,29.8,0,1969-05-01
I Can't See Myself Leaving You,Aretha Franklin,1969,6,1,56.0,0,1969-06-01
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2016,12,1,6.0,0,2016-12-01
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2017,1,4,16.5,0,2017-01-01
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2017,2,4,4.75,0,2017-02-01
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2017,3,4,3.0,0,2017-03-01
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2017,4,5,11.0,0,2017-04-01
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2017,5,4,37.75,0,2017-05-01
